STT,Tuần,Ngày,Tên bài học,Mẫu ngữ pháp,Mẫu ngữ pháp (Furigana),Cấu trúc,Ý nghĩa,Giải thích & Hướng dẫn,Ví dụ minh họa,Ví dụ (Furigana),URL bài học
51,Tuần 3,Ngày 3,第3週 (3) – 勉強するつもりでしたが,～よく 遊 んだものだ,～よく 遊(あそ) んだものだ,Vた Vなかった ものだ もんだ,Đã thường làm gì/ không làm gì,"Dùng để nhắc đến những việc trong quá khứ. Thường là thói quen, những hành động thường xuyên. Nhấn mạnh về kỷ niệm, hồi ức","1. 子 どものころはよく 川 で 遊 んだものだ
   👉 Thời còn nhỏ thường chơi đùa ở con sông
2. 学生 時代 は 毎日 図書館 へ 通 ったものだ。
   👉 Thời học sinh mỗi ngày đều tới thư viện","1. 子(こ) どものころはよく 川(かわ) で 遊(あそ) んだものだ
   👉 Thời còn nhỏ thường chơi đùa ở con sông
2. 学生(がくせい) 時代(じだい) は 毎日(まいにち) 図書館(としょかん) へ 通(とお) ったものだ。
   👉 Thời học sinh mỗi ngày đều tới thư viện",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-3.html
52,Tuần 3,Ngày 4,第3週 (4) – あうたびに,～ 散歩 のついでに,～ 散歩(さんぽ) のついでに,Nの Vる／Vた + ついでに,Nhân tiện (làm gì) thì …..,Một hành động chính nào đó đang thực hiện thì nhân tiện đó thực hiện thêm một hành động phụ khác,"1. 散歩 のついでに、この 手紙 を 出 してきてくれませんか。
   👉 Nhân tiện đi dạo thì có thể gửi lá thư này đi giúp được không?
2. 郵便局 へ 行 ったついでに、はがきを 買 ってきた。
   👉 Nhân tiện đi đến bưu điện đã mua bưu thiếp về.","1. 散歩(さんぽ) のついでに、この 手紙(てがみ) を 出(だ) してきてくれませんか。
   👉 Nhân tiện đi dạo thì có thể gửi lá thư này đi giúp được không?
2. 郵便局(ゆうびんきょく) へ 行(い) ったついでに、はがきを 買(か) ってきた。
   👉 Nhân tiện đi đến bưu điện đã mua bưu thiếp về.",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-4.html
53,Tuần 3,Ngày 4,第3週 (4) – あうたびに,～ 買 い 物 のたびに,～ 買(か) い 物(もの) のたびに,Nの Vる Vる。その + たびに たび たびには,"Mỗi khi, mỗi lần",Dùng trong trường hợp nhắc đến một sự việc thường xảy ra mỗi khi có 1 tình huống cụ thể nào đó,"1. 買 い 物 のたびに、 袋 をたくさんもらう。
   👉 Mỗi khi mua sắm thường nhận được nhiều túi
2. この 曲 を 聞 くたびに、ふるさとを 思 い 出 す。
   👉 Mỗi lần nghe khúc nhạc này tôi lại nhớ về quê hương","1. 買(か) い 物(もの) のたびに、 袋(ふくろ) をたくさんもらう。
   👉 Mỗi khi mua sắm thường nhận được nhiều túi
2. この 曲(きょく) を 聞(き) くたびに、ふるさとを 思(おも) い 出(だ) す。
   👉 Mỗi lần nghe khúc nhạc này tôi lại nhớ về quê hương",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-4.html
54,Tuần 3,Ngày 4,第3週 (4) – あうたびに,～ 開 けたとたん,～ 開(あ) けたとたん,Vた Vた。 + とたん とたんに そのとたん,Vừa mới (làm gì) thì….,"Dùng trong trường hợp một sự việc xảy ra ngay khi một hành động nào đó vừa được thực hiện. Vế sau không dùng các mẫu câu nghĩa chủ động (tha động từ) hoặc dùng thể sai khiến, bắt buộc","1. 窓 を 開 けたとたん、 強 い 風 が 入 ってきた。
   👉 Vừa mới mở cửa sổ thì gió mạnh ùa vào
2. お 酒 を 飲 んだとたん、 顔 が 赤 くなった。
   👉 Vừa mới uống rượu thì mặt đã đỏ lên rồi","1. 窓(まど) を 開(あ) けたとたん、 強(つよ) い 風(かぜ) が 入(はい) ってきた。
   👉 Vừa mới mở cửa sổ thì gió mạnh ùa vào
2. お 酒(さけ) を 飲(の) んだとたん、 顔(かお) が 赤(あか) くなった。
   👉 Vừa mới uống rượu thì mặt đã đỏ lên rồi",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-4.html
55,Tuần 3,Ngày 4,第3週 (4) – あうたびに,～ 食事 の 最中 に,～ 食事(しょくじ) の 最中(さいちゅう) に,Nの Vている + 最中 に 最中 だ,"Trong khi, đang lúc, giữa lúc",Dùng nói đến một hành động đột ngột diễn ra giữa tiến trình đang diễn ra của một hành động khác,"1. 食事 の 最中 に、お 客 さんが 来 た
   👉 Trong khi đang ăn thì khách hàng đến
2. 会議 をしている 最中 に、 携帯 電話 が 鳴 った。
   👉 Giữa lúc đang họp thì điện thoại di động reo","1. 食事(しょくじ) の 最中(さいちゅう) に、お 客(きゃく) さんが 来(き) た
   👉 Trong khi đang ăn thì khách hàng đến
2. 会議(かいぎ) をしている 最中(さいちゅう) に、 携帯(けいたい) 電話(でんわ) が 鳴(な) った。
   👉 Giữa lúc đang họp thì điện thoại di động reo",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-4.html
56,Tuần 3,Ngày 5,第3週 (5) – 一人っきり,～ 地図 のとおり,～ 地図(ちず) のとおり,Nの／Vる／Vた + とおり Nどおり,Đúng như,Một hành động nào đó được thực hiện liên tục Dùng để biểu thị một động tác nào đó được thực hiện theo đúng nội dung đã được biểu thị trong danh từ.,"1. 友達 がかいてくれた 地図 のとおりに 来 たが、 道 に 迷 った。
   👉 Tôi đã đi đến theo như bản đồ bạn tôi vẻ nhưng mà đã nhầm đường
2. 雪 が 降 ってきた。 予定 どおりだ。
   👉 Tuyết đã rơi rồi. Đúng như dự đoán
3. 先生 が 言 ったとおり、 試験 は 難 しかった。
   👉 Đúng như lời giáo viên nói, kỳ thi đã rất khó","1. 友達(ともだち) がかいてくれた 地図(ちず) のとおりに 来(き) たが、 道(みち) に 迷(まよ) った。
   👉 Tôi đã đi đến theo như bản đồ bạn tôi vẻ nhưng mà đã nhầm đường
2. 雪(ゆき) が 降(ふ) ってきた。 予定(よてい) どおりだ。
   👉 Tuyết đã rơi rồi. Đúng như dự đoán
3. 先生(せんせい) が 言(い) ったとおり、 試験(しけん) は 難(むずか) しかった。
   👉 Đúng như lời giáo viên nói, kỳ thi đã rất khó",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-5.html
57,Tuần 3,Ngày 5,第3週 (5) – 一人っきり,～テレビをつけたまま,～テレビをつけたまま,Vた／Vない A／N（普通形） Aだな Nだの ＋ まま,"Để nguyên, giữ nguyên","Dùng thể hiện tình trạng của sự vật sự việc được duy trì liên tục trong khi một hành động, sự việc khác diễn ra. Hoặc chỉ đơn giản nói về việc giữ nguyên một tình trạng nào đó","1. 昨夜 、テレビをつけたまま 寝 てしまった。
   👉 Tối qua, đã để tivi mà đi ngủ mất
2. この 野菜 は、 生 のままで 食 べてもおいしいですよ。
   👉 Loại rau này để sống ăn vẫn ngon đấy","1. 昨夜(さくや) 、テレビをつけたまま 寝(ね) てしまった。
   👉 Tối qua, đã để tivi mà đi ngủ mất
2. この 野菜(やさい) は、 生(なま) のままで 食(た) べてもおいしいですよ。
   👉 Loại rau này để sống ăn vẫn ngon đấy",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-5.html
58,Tuần 3,Ngày 5,第3週 (5) – 一人っきり,～ 開 けっぱなし,～ 開(あ) けっぱなし,V ます + っぱなし,"Để nguyên, giữ nguyên",,"1. 窓 を 開 けっぱなしで 出 てきた。
   👉 Để cửa sổ mở mà ra ngoài
2. 水 を 出 しっぱなしにしないでください。
   👉 Đừng để nước chảy suốt vậy","1. 窓(まど) を 開(あ) けっぱなしで 出(で) てきた。
   👉 Để cửa sổ mở mà ra ngoài
2. 水(みず) を 出(だ) しっぱなしにしないでください。
   👉 Đừng để nước chảy suốt vậy",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-5.html
59,Tuần 3,Ngày 5,第3週 (5) – 一人っきり,～ 二人 きり,～ 二人(ふたり) きり,N ＋ きり きりだ っきり っきりだ,"Chỉ có, có",Dùng để nhấn mạnh số lượng ít,"1. 二人 （っ）きりで 話 をしたいです
   👉 Tôi muốn nói chuyện có 2 người thôi
2. 彼 に 会 ったのは１ 回 （っ）きりです。
   👉 Gặp anh ta chỉ có 1 lần","1. 二人(ふたり) （っ）きりで 話(はなし) をしたいです
   👉 Tôi muốn nói chuyện có 2 người thôi
2. 彼(かれ) に 会(あ) ったのは１ 回(かい) （っ）きりです。
   👉 Gặp anh ta chỉ có 1 lần",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-5.html
60,Tuần 3,Ngày 6,第3週 (6) – 教えてほしい,～ 怖 がらないで,～ 怖(こわ) がらないで,A い A な Vた い ＋ がる がって がらないで,"Ý muốn (của người khác), cảm xúc (của người khác)","Dùng khi muốn nhắc đến, miêu tả, diễn đạt lại cảm xúc, ý hướng của người khác, không phải của bản thân","1. 怖 がらないでください。
   👉 Đừng có sợ
2. 恥 ずかしがらないで、 前 に 出 てきてください。
   👉 Đừng xấu hổ, hãy ra phía trước
3. 田中 さんが、あなたに 会 いたがっていましたよ。
   👉 Tanaka đã muốn gặp bạn đấy","1. 怖(こわ) がらないでください。
   👉 Đừng có sợ
2. 恥(は) ずかしがらないで、 前(まえ) に 出(で) てきてください。
   👉 Đừng xấu hổ, hãy ra phía trước
3. 田中(たなか) さんが、あなたに 会(あ) いたがっていましたよ。
   👉 Tanaka đã muốn gặp bạn đấy",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-6.html
61,Tuần 3,Ngày 6,第3週 (6) – 教えてほしい,～ 見 せてほしい,～ 見(み) せてほしい,Vて Vないで ＋ ほしい もらいたい,Muốn người khác làm gì/không làm gì cho mình,"Dùng khi muốn yêu cầu người khác thực hiện hành động gì cho bản thân, thường dùng ở thể thông thường, không trịnh trọng","1. あのう、 教科書 を 見 せてほしいんですが・・・。
   👉 À này, cho tôi xem sách giáo khoa nhé
2. あなたに 教 えてもらいたいことがあります。
   👉 Tôi có việc muốn bạn chỉ giáo cho","1. あのう、 教科書(きょうかしょ) を 見(み) せてほしいんですが・・・。
   👉 À này, cho tôi xem sách giáo khoa nhé
2. あなたに 教(おし) えてもらいたいことがあります。
   👉 Tôi có việc muốn bạn chỉ giáo cho",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-6.html
62,Tuần 3,Ngày 6,第3週 (6) – 教えてほしい,～ 知 っているふりをする,～ 知(し) っているふりをする,V/A/N（ 普通 形 ） A だ な N だ の ＋ ふりをする,Giả vờ….,"Dùng trong trường hợp thực hiện hành động giả vờ như một tình trạng, hành động nào đó không đúng với sự thật","1. 彼 はそのことについて 知 っているふりをしているが、 本当 は 知 らないと 思 う。
   👉 Anh ấy giả vờ như biết về việc đó nhưng tôi nghĩ thật ra anh ta không biết đâu
2. 田中 さんは 独身 のふりをしているが、 結婚 していて３ 人 も 子 どもがいる。
   👉 Tanaka giả vờ như còn độc thân nhưng đã kết hôn và có đến 3 đứa con rồi","1. 彼(かれ) はそのことについて 知(し) っているふりをしているが、 本当(ほんとう) は 知(し) らないと 思(おも) う。
   👉 Anh ấy giả vờ như biết về việc đó nhưng tôi nghĩ thật ra anh ta không biết đâu
2. 田中(たなか) さんは 独身(どくしん) のふりをしているが、 結婚(けっこん) していて３ 人(ひと) も 子(こ) どもがいる。
   👉 Tanaka giả vờ như còn độc thân nhưng đã kết hôn và có đến 3 đứa con rồi",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-6.html
63,Tuần 4,Ngày 1,第4週 (1) – 子供のくせに,～あなたにとって,～あなたにとって,Nに ＋ とって とっては とっても,Đối với,,"1. あなたにとって、いちばん 大切 なものは 何 ですか。
   👉 Đối với bạn, cái quan trọng nhất là cái gì?
2. このあたりの 人 々にとっては、 車 は 必需品 です。
   👉 Đối với người vùng này thì xe hơi là nhu yếu phẩm đấy","1. あなたにとって、いちばん 大切(たいせつ) なものは 何(なん) ですか。
   👉 Đối với bạn, cái quan trọng nhất là cái gì?
2. このあたりの 人(ひと) 々にとっては、 車(くるま) は 必需品(ひつじゅひん) です。
   👉 Đối với người vùng này thì xe hơi là nhu yếu phẩm đấy",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-1.html
64,Tuần 4,Ngày 1,第4週 (1) – 子供のくせに,～ 年 のわりには,～ 年(とし) のわりには,V／A／N（ 普通 形 ） N だ の A だ な ＋ わりに わりには,"Cho dẫu, mặc cho","Dùng khi miêu tả, thể hiện trường hợp sự vật, sự việc trái ngược với lẽ thường, lẽ tự nhiên. Thể hiện cảm xúc ngạc nhiên, bất ngờ, ngoài dự tính","1. 年 のわりには 若 く 見 える。
   👉 Mặc cho tuổi tác trông vẫn trẻ
2. お 金 がない（と 言 っている）わりに、よく 買 い 物 をするね。
   👉 Dù không có tiền vậy mà vẫn hay mua sắm nhỉ","1. 年(とし) のわりには 若(わか) く 見(み) える。
   👉 Mặc cho tuổi tác trông vẫn trẻ
2. お 金(かね) がない（と 言(い) っている）わりに、よく 買(か) い 物(もの) をするね。
   👉 Dù không có tiền vậy mà vẫn hay mua sắm nhỉ",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-1.html
65,Tuần 4,Ngày 1,第4週 (1) – 子供のくせに,～ 知 っているくせに,～ 知(し) っているくせに,V／A／N（ 普通 形 ） N だ の A だ な ＋ くせに,Thế mà,"Dùng trong trường hợp muốn phàn nàn, khó chịu về sự việc không hay đã xảy ra trong khi đáng lẽ không phải như vậy. Người dùng mang cảm giác không vui, khó chịu về vấn đề","1. 知 っているくせに、 教 えてくれない。
   👉 Biết thế mà không chỉ
2. 元気 なくせに、 病気 のふりをしている。
   👉 Khỏe thế mà lại giả vờ bị bệnh","1. 知(し) っているくせに、 教(おし) えてくれない。
   👉 Biết thế mà không chỉ
2. 元気(げんき) なくせに、 病気(びょうき) のふりをしている。
   👉 Khỏe thế mà lại giả vờ bị bệnh",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-1.html
66,Tuần 4,Ngày 1,第4週 (1) – 子供のくせに,～お 化粧 なんか,～お 化粧(けしょう) なんか,N Nで／Aな Vて Aく ＋ なんか なんて など,"Mấy cái thứ như là, mấy chuyện kiểu như","Dùng trong trường hợp muốn đánh giá thấp một sự việc, sự vật nào đó. Người nói muốn nhấn mạnh sự phủ định với sự việc sự vật. Theo sau thường là động từ mang ý phủ định","1. お 化粧 なんかしてはいけません。
   👉 Mấy chuyện như trang điểm thì không được
2. 納豆 なんて 嫌 いだ。
   👉 Mấy thứ như natto là tôi ghét đấy
3. 「 泣 いてるの？」「 泣 いてなんかいないよ！」
   👉 “Khóc hả?””Tôi mà khóc gì chứ!”
4. 日本語 でスピーチなどできません。
   👉 Với tiếng Nhật thì mấy chuyện như speech là tôi không thể đâu","1. お 化粧(けしょう) なんかしてはいけません。
   👉 Mấy chuyện như trang điểm thì không được
2. 納豆(なっとう) なんて 嫌(きら) いだ。
   👉 Mấy thứ như natto là tôi ghét đấy
3. 「 泣(な) いてるの？」「 泣(な) いてなんかいないよ！」
   👉 “Khóc hả?””Tôi mà khóc gì chứ!”
4. 日本語(にほんご) でスピーチなどできません。
   👉 Với tiếng Nhật thì mấy chuyện như speech là tôi không thể đâu",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-1.html
67,Tuần 4,Ngày 2,第4週 (2) – そのかわり,～ 先生 のおかげで,～ 先生(せんせい) のおかげで,V／A／N（ 普通 形 ） A だ な N だ の ＋ おかげで おかげだ,Nhờ có,"Dùng để nhắc đến kết quả tốt đẹp nhờ vào sự việc, con người nào đó. (lý do) Mang hàm ý biết ơn","1. 先生 のおかげで 合格 できました。
   👉 Nhờ có giáo viên mà tôi đã đậu
2. 日本 へ 来 たおかげで、 日本語 が 上手 になった。
   👉 Nhờ đã đến Nhật mà tiếng Nhật đã giỏi lên","1. 先生(せんせい) のおかげで 合格(ごうかく) できました。
   👉 Nhờ có giáo viên mà tôi đã đậu
2. 日本(にっぽん) へ 来(き) たおかげで、 日本語(にほんご) が 上手(じょうず) になった。
   👉 Nhờ đã đến Nhật mà tiếng Nhật đã giỏi lên",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-2.html
68,Tuần 4,Ngày 2,第4週 (2) – そのかわり,～ 遅 れたせいで,～ 遅(おく) れたせいで,V／A／N（ 普通 形 ） A だ な N だ の ＋ せいで せいか せいた,"Vì, do せいか：Hình như là vì",Dùng khi muốn nhắc đến lý do liên đới tới một kết quả xấu Mang hàm ý trách móc,"1. バスが 遅 れたせいで、 約束 の 時間 に 間 に 合 わなかった。
   👉 Vì xe buýt trễ nên đã không kịp giờ hẹn
2. 疲 れたせいか、 頭 が 痛 い。
   👉 Hình như vì mệt nên đau đầu","1. バスが 遅(おく) れたせいで、 約束(やくそく) の 時間(じかん) に 間(ま) に 合(あ) わなかった。
   👉 Vì xe buýt trễ nên đã không kịp giờ hẹn
2. 疲(つか) れたせいか、 頭(あたま) が 痛(いた) い。
   👉 Hình như vì mệt nên đau đầu",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-2.html
69,Tuần 4,Ngày 2,第4週 (2) – そのかわり,～ビールのかわりに,～ビールのかわりに,V／A／N（ 普通 形 ） A だ な N だ の ＋ かわりに そのかわり（に）,Thay cho….,"Dùng để thể hiện sự thay thế tương đương của sự vật, sự việc này với sự vật, sự việc khác","1. 車 で 来 たので、ビールのかわりにジュースをください。
   👉 Vì đã đến bằng xe hơi nên hãy cho tôi nước ép thay vì bia
2. 日曜日 に 働 いたかわりに、 今日 休 みを 取 りました。
   👉 Đã xin nghỉ hôm nay thay cho đã làm việc ngày chủ nhật","1. 車(くるま) で 来(き) たので、ビールのかわりにジュースをください。
   👉 Vì đã đến bằng xe hơi nên hãy cho tôi nước ép thay vì bia
2. 日曜日(にちようび) に 働(はたら) いたかわりに、 今日(きょう) 休(やす) みを 取(と) りました。
   👉 Đã xin nghỉ hôm nay thay cho đã làm việc ngày chủ nhật",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-2.html
70,Tuần 4,Ngày 2,第4週 (2) – そのかわり,～ 部長 にかわって,～ 部長(ぶちょう) にかわって,Nに ＋ かわって かわり だめ： ビールにかわってジュースをください,"Thay thế cho, thay mặt cho","Dùng để thể hiện sự thay thế tương đương của sự vật, sự việc, con người Đi sau thường không dùng thể mệnh lệnh, sai khiến","1. 出張中 の 部長 にかわって、 私 がごあいさつさせていただきます 。
   👉 Thay mặt cho trưởng phòng đang đi công tác, tôi xin phép được giới thiệu
2. 野球 にかわり、サッカーがさかんになってきた。
   👉 Bóng đá đã trở nên phổ biến thay cho bóng chày","1. 出張中(しゅっちょうちゅう) の 部長(ぶちょう) にかわって、 私(わたし) がごあいさつさせていただきます 。
   👉 Thay mặt cho trưởng phòng đang đi công tác, tôi xin phép được giới thiệu
2. 野球(やきゅう) にかわり、サッカーがさかんになってきた。
   👉 Bóng đá đã trở nên phổ biến thay cho bóng chày",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-2.html
71,Tuần 4,Ngày 3,第4週 (3) – 見れば見るほど,～ 米粒 くらい／ 米粒 ほど,～ 米粒(こめつぶ) くらい／ 米粒(こめつぶ) ほど,N Aな Aい Vる ＋ くらい ぐらい ほど ＋ だ に のN,"Đến cỡ, đến mức, cỡ","Dùng để nói đến mức độ, quy mô dùng so sánh với sự vật, sự việc","1. それは 米粒 くらいの 大 きさです。
   👉 Cái đó có độ lớn cỡ hạt gạo
2. この 洗剤 は、おもしろいほど 汚 れが 落 ちる。
   👉 Loại nước tẩy này làm vết bẩn trôi đi đến kinh ngạc
3. あきるほど 食 べた
   👉 Đã ăn đến mức ngán
4. 宿題 が 多 すぎて、 泣 きたいくらいだ。
   👉 Bài tập quá nhiều đến mức phát khóc","1. それは 米粒(こめつぶ) くらいの 大(おお) きさです。
   👉 Cái đó có độ lớn cỡ hạt gạo
2. この 洗剤(せんざい) は、おもしろいほど 汚(よご) れが 落(お) ちる。
   👉 Loại nước tẩy này làm vết bẩn trôi đi đến kinh ngạc
3. あきるほど 食(た) べた
   👉 Đã ăn đến mức ngán
4. 宿題(しゅくだい) が 多(おお) すぎて、 泣(な) きたいくらいだ。
   👉 Bài tập quá nhiều đến mức phát khóc",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-3.html
72,Tuần 4,Ngày 3,第4週 (3) – 見れば見るほど,～ 若 い 人 ほど,～ 若(わか) い 人(ひと) ほど,Aい Aな ＋ ほど Nほど,"Phía, bên…(hơn)","Dùng để nói đến một phía, một bên nào đó thì sẽ có đặc điểm hơn/kém hơn như thế nào","1. 若 い 人 ほど 朝寝坊 をする。
   👉 Phía người trẻ thường ngủ nướng hơn
2. 伝統的 なものは、 古 いほど 価値 がある。
   👉 Những đồ truyền thống thì phía cổ có giá trị hơn","1. 若(わか) い 人(ひと) ほど 朝寝坊(あさねぼう) をする。
   👉 Phía người trẻ thường ngủ nướng hơn
2. 伝統的(でんとうてき) なものは、 古(ふる) いほど 価値(かち) がある。
   👉 Những đồ truyền thống thì phía cổ có giá trị hơn",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-3.html
73,Tuần 4,Ngày 3,第4週 (3) – 見れば見るほど,～ 知 ればほど,～ 知(し) ればほど,VばVるほど AければAいほど AならばAなほど,Càng….càng….,Dùng để thể hiện mức độ kết quả càng tăng khi đặc tính của sự vật càng tăng,"1. 彼 のことを 知 れば 知 るほど 好 きになる。
   👉 Càng hiểu về anh ấy thì lại càng thích
2. 荷物 は 少 なければ 少 ないほどいい。
   👉 Đồ đạc càng ít càng tốt","1. 彼(かれ) のことを 知(し) れば 知(し) るほど 好(す) きになる。
   👉 Càng hiểu về anh ấy thì lại càng thích
2. 荷物(にもつ) は 少(すく) なければ 少(すく) ないほどいい。
   👉 Đồ đạc càng ít càng tốt",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-3.html
74,Tuần 4,Ngày 3,第4週 (3) – 見れば見るほど,～ 彼女 くらい 親切 な 人 はいない,～ 彼女(かのじょ) くらい 親切(しんせつ) な 人(ひと) はいない,Nくらい Nほど ＋ N［ 人 ］はいない N［ 物 ・ 事 ］は ない,Cỡ như….thì không….,"Dùng trong trường hợp đề cao mức độ của sự vật, sự việc, con người. Mang ý khẳng định ngoài sự vật, sự việc, con người đó thì không có tương đương để thay thế","1. 彼女 くらい 親切 な 人 はいない。
   👉 Người tốt bụng cỡ như cô ấy thì không có đâu
2. 今年 ほど 雪 の 降 った 年 はなかった。
   👉 Chưa có năm nào tuyết rơi như năm nay","1. 彼女(かのじょ) くらい 親切(しんせつ) な 人(ひと) はいない。
   👉 Người tốt bụng cỡ như cô ấy thì không có đâu
2. 今年(ことし) ほど 雪(ゆき) の 降(ふ) った 年(とし) はなかった。
   👉 Chưa có năm nào tuyết rơi như năm nay",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-3.html
75,Tuần 4,Ngày 4,第4週 (4) – やってみることだ,～あやまりことはない,～あやまりことはない,Vることはない,Không cần phải….,Dùng trong trường hợp muốn nói với đối phương không nhất thiết phải thực hiện một hành động nào đó. Dù không thực hiện hành động đó vẫn chấp nhận được.,"1. 君 があやまることはないよ。
   👉 Cậu không cần phải xin lỗi đâu
2. 来 ることはありません。 郵送 でいいですよ。
   👉 Không cần đến đâu. Gửi bưu điện là được rồi","1. 君(きみ) があやまることはないよ。
   👉 Cậu không cần phải xin lỗi đâu
2. 来(く) ることはありません。 郵送(ゆうそう) でいいですよ。
   👉 Không cần đến đâu. Gửi bưu điện là được rồi",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-4.html
76,Tuần 4,Ngày 4,第4週 (4) – やってみることだ,～ 遅 れるということだ,～ 遅(おく) れるということだ,V／A／N（ 普通 形 ） N ＋ ということだ,"Dường như là, có nghĩa là, sự thật là","Gồm 2 nghĩa chính: – Nói đến sự việc nghe thấy/đọc được – Nói đến ý nghĩa, sự thật, kết quả rút ra Có thể dùng động từ ở dạng ý hướng, mệnh lệnh","1. 田中 さんから 電話 があって、 少 し 遅れる れるということです。
   👉 Có điện thoại từ Tanaka, dường như là sẽ trễ một chút
2. 試験 の 結果 は70％、つまり 合格 ということだ。
   👉 Kết quả thi khoảng 70%, tức là đậu rồi","1. 田中(たなか) さんから 電話(でんわ) があって、 少(すこ) し 遅れる(おく) れるということです。
   👉 Có điện thoại từ Tanaka, dường như là sẽ trễ một chút
2. 試験(しけん) の 結果(けっか) は70％、つまり 合格(ごうかく) ということだ。
   👉 Kết quả thi khoảng 70%, tức là đậu rồi",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-4.html
77,Tuần 4,Ngày 4,第4週 (4) – やってみることだ,～ 休 むことだ,～ 休(やす) むことだ,Vる／Vない ことだ,"Nghĩa là, nên",Dùng trong trường hợp đưa ra lời khuyên về sự việc nào đó,"1. 暖 かくして、ゆっくり 休 むことだ。
   👉 Nên giữ ấm và nghỉ ngơi từ từ
2. 無理 をしないことです。
   👉 Không nên cố gắng quá sức","1. 暖(だん) かくして、ゆっくり 休(やす) むことだ。
   👉 Nên giữ ấm và nghỉ ngơi từ từ
2. 無理(むり) をしないことです。
   👉 Không nên cố gắng quá sức",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-4.html
78,Tuần 4,Ngày 4,第4週 (4) – やってみることだ,～どんなにうれしことか,～どんなにうれしことか,どんなに どれだけ どれほど 何度 何時間 ＋ Aいことか Aかったことか Aなことか Aだったことか Vることか Vたことか,"Rất, biết bao lần, biết bao thời gian…","Dùng để thể hiện mức độ cao, tần suất nhiều của sự việc, đặc điểm Mang ý cảm thán","1. 合格 できたら、どんなにうれしいことか。
   👉 Nếu đậu thì tôi sẽ vui sướng biết bao
2. 何度 注意 したことか。
   👉 Đã nhắc nhở biết bao nhiêu lần rồi","1. 合格(ごうかく) できたら、どんなにうれしいことか。
   👉 Nếu đậu thì tôi sẽ vui sướng biết bao
2. 何度(なんど) 注意(ちゅうい) したことか。
   👉 Đã nhắc nhở biết bao nhiêu lần rồi",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-4.html
79,Tuần 4,Ngày 5,第4週 (5) – 聞いてみるしかない,～ 来週 だっけ？,～ 来週(らいしゅう) だっけ？,Nだ／Nだったっけ A（な）だ／Aだったっけ Aかったっけ Vたっけ でしたっけ／ましたって,Phải vậy không?,"Dùng để xác nhận lại lần nữa sự việc, sự vật, đặc điểm Thường dùng trong thể nói thông dụng, thân mật","1. 国 へ 帰 るのは、 来週 だ（った）っけ？
   👉 Trở về nước là tuần sua phải không?
2. 明日 のパーテイーのこと、 話 し（まし）たっけ？
   👉 Tôi đã nói về vụ bữa tiệc ngày mai đúng không?","1. 国(くに) へ 帰(かえ) るのは、 来週(らいしゅう) だ（った）っけ？
   👉 Trở về nước là tuần sua phải không?
2. 明日(あした) のパーテイーのこと、 話(はな) し（まし）たっけ？
   👉 Tôi đã nói về vụ bữa tiệc ngày mai đúng không?",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-5.html
